Title,Year,Publisher,Genre,Platform,Metascore,Avg_Userscore,No_Players
Shovel Knight,2014.0,YachtClubGames,Platformer;2D;Action;Platformer;2D,WiiU,88.0,8.4,not specified
Rayman Origins,2012.0,UBlartMontpellier,Action Adventure;Fantasy;Action;Platformer;Platformer;2D;2D,PlayStationVita,88.0,8.4,not specified
NBA 2K17,2016.0,VisualConcepts,Sports;Team;Basketball;Sim,PlayStation4,88.0,6.4,Up to 10 
Torchlight II,2012.0,RunicGames,Role-Playing;Action RPG;Action RPG,PC,88.0,8.6,Online Multiplayer
XCOM 2,2016.0,FiraxisGames,Strategy;Turn-Based;General;Tactics,PC,88.0,7.2,2 
Dishonored 2,2016.0,ArkaneStudios,Action Adventure;General,PlayStation4,88.0,7.9,No Online Multiplayer
Cuphead,2017.0,StudioMDHR,Action;Platformer;2D,PC,88.0,8.3,not specified
Divinity: Original Sin Enhanced Edition,2015.0,LarianStudios,Role-Playing;Action RPG;Western-Style,PlayStation4,88.0,8.0,2 
Minecraft: Xbox One Edition,2014.0,"4JStudios,MojangAB",Action Adventure;Adventure;3D;Sandbox;First-Person;Fantasy;Fantasy,XboxOne,88.0,6.7,Up to 8 
Guacamelee! Super Turbo Championship Edition,2014.0,DrinkBoxStudios,Action;Platformer;2D,XboxOne,88.0,7.0,not specified
Ori and the Blind Forest,2015.0,MoonStudios,Action;Platformer;2D,XboxOne,88.0,8.6,No Online Multiplayer
Thirty Flights of Loving,2012.0,BlendoGames,Adventure;General;3D;First-Person,PC,88.0,5.0,not specified
Hearthstone: Heroes of Warcraft,2014.0,BlizzardEntertainment,Card Battle;Strategy;Miscellaneous;Turn-Based;Card Battle,PC,88.0,6.1,2 
The Stanley Parable,2013.0,DaveyWreden,Action;Adventure;General;General;3D;First-Person;Modern,PC,88.0,8.0,not specified
Sid Meier's Civilization VI,2016.0,FiraxisGames,Strategy;Turn-Based;4X,PC,88.0,7.1,not specified
Battlefield 1,2016.0,EADICE,General;Action;Shooter;First-Person;Tactical,PC,88.0,7.2,not specified
Okami HD,2017.0,Capcom,Action Adventure;General,XboxOne,88.0,8.3,not specified
Starcraft II: Legacy of the Void,2015.0,BlizzardEntertainment,Sci-Fi;Sci-Fi;Strategy;Real-Time;General;Command,PC,88.0,8.3,not specified
Diablo III,2012.0,BlizzardEntertainment,Role-Playing;Action RPG;Action RPG,PC,88.0,4.1,Up to 4 
LittleBigPlanet PS Vita,2012.0,"TarsierStudios,DoubleEleven",Action;Platformer;Platformer;3D;3D,PlayStationVita,88.0,8.6,Up to 4 
Guacamelee! Gold Edition,2013.0,DrinkBoxStudios,Action;Platformer;Platformer;2D;2D,PC,88.0,7.3,No Online Multiplayer
World of Warcraft: Legion,2016.0,BlizzardEntertainment,Role-Playing;Massively Multiplayer,PC,88.0,7.3,not specified
Keep Talking and Nobody Explodes,2016.0,SteelCrateGames,Adventure;3D;First-Person,PlayStation4,88.0,6.5,not specified
Owlboy,2016.0,D-PadStudio,Fantasy;Action Adventure;General,PC,88.0,7.7,No Online Multiplayer
The Talos Principle,2015.0,Croteam,Adventure;3D;First-Person;Sci-Fi,PlayStation4,88.0,8.3,not specified
Night in the Woods,2017.0,InfiniteFall,Fantasy;Action Adventure;Adventure;General,PC,88.0,7.8,No Online Multiplayer
Ori and the Blind Forest,2015.0,MoonStudios,Action;Platformer;2D,PC,88.0,8.7,No Online Multiplayer
