Title,Year,Platform,Metascore,Avg_Userscore
Fallout 4,2015.0,PlayStation4,87.0,6.6
Forza Horizon 3,2016.0,PC,86.0,6.8
Tales From The Borderlands: Episode 5 - The Vault of the Traveler,2015.0,PC,86.0,8.7
Thumper,2017.0,XboxOne,86.0,5.1
The Witness,2016.0,XboxOne,86.0,6.9
Gone Home,2013.0,PC,86.0,5.4
Pac-Man Championship Edition DX +,2013.0,PC,86.0,7.5
Uncharted: The Nathan Drake Collection,2015.0,PlayStation4,86.0,8.6
Tales from the Borderlands: A Telltale Game Series,2015.0,PlayStation4,86.0,8.2
Total War: Shogun 2 - Fall of the Samurai,2012.0,PC,86.0,8.5
Final Fantasy XIV: Heavensward,2015.0,PC,86.0,7.7
Football Manager 2013,2012.0,PC,86.0,6.8
Out of the Park Baseball 14,2013.0,PC,86.0,8.3
DiRT Rally,2016.0,XboxOne,86.0,8.0
F1 2017,2017.0,PlayStation4,86.0,7.8
Astebreed,2014.0,PC,86.0,7.3
Cuphead,2017.0,XboxOne,86.0,8.5
Velocity 2X,2014.0,PlayStation4,86.0,6.9
Killer Instinct Season 3,2016.0,XboxOne,86.0,6.6
Pillars of Eternity: Complete Edition,2017.0,XboxOne,86.0,7.7
Shovel Knight,2015.0,XboxOne,86.0,7.7
Stardew Valley,2016.0,PlayStation4,86.0,7.8
Rise of the Tomb Raider,2016.0,PC,86.0,7.9
NBA 2K14,2013.0,XboxOne,86.0,5.7
Total War: WARHAMMER,2016.0,PC,86.0,7.3
Saints Row IV,2013.0,PC,86.0,7.4
Need for Speed: Most Wanted U,2013.0,WiiU,86.0,7.7
DmC: Devil May Cry Definitive Edition,2015.0,XboxOne,86.0,7.5
Final Fantasy X / X-2 HD Remaster,2014.0,PlayStationVita,86.0,8.6
Black Mesa,2012.0,PC,86.0,8.9
FIFA Soccer 13,2012.0,PC,86.0,6.6
Sky Force Reloaded,2017.0,XboxOne,86.0,6.5
NBA 2K16,2015.0,XboxOne,86.0,6.1
Thimbleweed Park,2017.0,PlayStation4,86.0,7.1
Titanfall,2014.0,XboxOne,86.0,6.7
The Binding of Isaac: Rebirth,2014.0,PC,86.0,8.3
Tribes: Ascend,2012.0,PC,86.0,7.8
Titanfall,2014.0,PC,86.0,6.2
Rayman Origins,2012.0,PC,86.0,8.4
Gears of War 4,2016.0,PC,86.0,6.7
Guilty Gear Xrd -REVELATOR-,2016.0,PlayStation4,86.0,8.2
Her Story,2015.0,PC,86.0,6.0
Diablo III: Ultimate Evil Edition,2014.0,XboxOne,86.0,7.8
Starcraft II: Heart of the Swarm,2013.0,PC,86.0,7.9
Dishonored 2,2016.0,PC,86.0,6.7
Resident Evil 7: biohazard,2017.0,XboxOne,86.0,7.6
Final Fantasy XII: The Zodiac Age,2017.0,PlayStation4,86.0,7.5
Homeworld Remastered Collection,2015.0,PC,86.0,8.2
Wolfenstein II: The New Colossus,2017.0,PC,86.0,6.7
Tomb Raider,2013.0,PC,86.0,8.5
F1 2016,2016.0,PC,86.0,8.0
Sonic Mania,2017.0,PlayStation4,86.0,8.6
Pony Island,2016.0,PC,86.0,7.4
Tomb Raider: Definitive Edition,2014.0,XboxOne,86.0,7.7
Tales From Space: Mutant Blobs Attack,2012.0,PlayStationVita,86.0,8.3
Resident Evil 7: biohazard,2017.0,PlayStation4,86.0,7.8
Rise of the Tomb Raider,2015.0,XboxOne,86.0,8.0
PlayerUnknown's Battlegrounds,2017.0,PC,86.0,4.5
Forza Horizon 2,2014.0,XboxOne,86.0,8.3
Observer,2017.0,XboxOne,86.0,7.8
Robo Recall,2017.0,PC,86.0,7.9
XCOM: Enemy Within,2013.0,PC,86.0,8.0
Final Fantasy XIV: Heavensward,2015.0,PlayStation4,86.0,7.6
Bayonetta,2014.0,WiiU,86.0,8.8
Final Fantasy XIV Online: A Realm Reborn,2014.0,PlayStation4,86.0,6.7
Titanfall 2,2016.0,PC,86.0,8.2
West of Loathing,2017.0,PC,86.0,8.0
Dying Light: The Following,2016.0,XboxOne,86.0,8.1
Destiny: The Taken King,2015.0,PlayStation4,86.0,6.2
Heroes of the Storm,2015.0,PC,86.0,6.5
DiRT 4,2017.0,XboxOne,86.0,6.7
Code:Realize - Guardian of Rebirth,2015.0,PlayStationVita,86.0,7.9
Path of Exile,2013.0,PC,86.0,8.0
Guilty Gear Xrd: Rev 2,2017.0,PlayStation4,86.0,7.9
OlliOlli2: Welcome to Olliwood,2015.0,PlayStation4,86.0,6.5
Forza Motorsport 7,2017.0,XboxOne,86.0,5.9
Mortal Kombat X,2015.0,XboxOne,86.0,7.5
Gunman Clive HD Collection,2015.0,WiiU,86.0,8.1
Day of the Tentacle Remastered,2016.0,PC,86.0,8.0
DiRT Rally,2015.0,PC,86.0,8.7
Rocket League,2015.0,PC,86.0,8.2
The Legend of Zelda: Twilight Princess HD,2016.0,WiiU,86.0,8.5
Injustice 2,2017.0,PC,86.0,7.8
Resogun: Heroes,2014.0,PlayStation4,86.0,7.3
The Talos Principle,2014.0,PC,85.0,8.5
Cities: Skylines,2015.0,PC,85.0,8.9
