Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Disney Infinity,WiiU,2013.0,0.33,0.22,0.0,0.05,0.6
LEGO The Hobbit,PlayStation4,2014.0,0.12,0.37,0.0,0.1,0.6
Tomb Raider (2013),XboxOne,2014.0,0.34,0.21,0.0,0.05,0.6
Skylanders SWAP Force,WiiU,2013.0,0.4,0.15,0.0,0.06,0.6
Disney Infinity 2.0: Marvel Super Heroes,PlayStation4,2014.0,0.26,0.24,0.0,0.1,0.6
Rayman Origins,PlayStationVita,2012.0,0.13,0.35,0.0,0.11,0.59
Dark Souls II,PlayStation4,2015.0,0.2,0.22,0.08,0.08,0.59
Just Dance 2016,WiiU,2015.0,0.28,0.25,0.0,0.05,0.58
NHL 15,PlayStation4,2014.0,0.3,0.18,0.0,0.1,0.58
Kinect Sports Rivals,XboxOne,2014.0,0.3,0.22,0.02,0.04,0.58
WWE 2K16,XboxOne,2015.0,0.31,0.22,0.0,0.05,0.58
Titanfall,PC,2014.0,0.21,0.3,0.0,0.07,0.58
WWE 2K15,XboxOne,2014.0,0.28,0.23,0.0,0.04,0.56
Soul Sacrifice,PlayStationVita,2013.0,0.18,0.09,0.22,0.06,0.56
Unit 13,PlayStationVita,2012.0,0.29,0.15,0.04,0.07,0.55
Assassin's Creed: Unity,PC,2014.0,0.17,0.33,0.0,0.05,0.55
The Amazing Spider-Man 2 (2014),PlayStation4,2014.0,0.2,0.25,0.02,0.09,0.55
Minecraft: Story Mode,XboxOne,2015.0,0.29,0.21,0.0,0.05,0.54
Resident Evil: Revelations 2,PlayStation4,2015.0,0.13,0.24,0.1,0.07,0.54
Lego Star Wars: The Force Awakens,PlayStation4,2016.0,0.14,0.32,0.0,0.08,0.54
Star Wars Battlefront (2015),PC,2015.0,0.13,0.37,0.0,0.04,0.54
LEGO Jurassic World,WiiU,2015.0,0.28,0.19,0.02,0.04,0.53
Kirby and the Rainbow Curse,WiiU,2015.0,0.23,0.14,0.12,0.04,0.53
Sonic & All-Stars Racing Transformed,WiiU,2012.0,0.2,0.27,0.02,0.05,0.53
Batman: Arkham Origins Blackgate,PlayStationVita,2013.0,0.2,0.2,0.0,0.13,0.53
Just Dance 2015,XboxOne,2014.0,0.35,0.13,0.0,0.05,0.53
PlayStation All-Stars Battle Royale,PlayStationVita,2012.0,0.26,0.15,0.01,0.1,0.52
The LEGO Movie Videogame,XboxOne,2014.0,0.34,0.13,0.0,0.04,0.51
StarCraft II: Legacy of the Void,PC,2015.0,0.18,0.29,0.0,0.04,0.51
Lords of the Fallen,PlayStation4,2014.0,0.17,0.23,0.02,0.09,0.51
LEGO Dimensions,WiiU,2015.0,0.3,0.16,0.0,0.05,0.51
Quantum Break,XboxOne,2016.0,0.27,0.19,0.01,0.04,0.51
Rory McIlroy PGA Tour,PlayStation4,2015.0,0.18,0.24,0.0,0.08,0.51
Dishonored,PC,2012.0,0.26,0.19,0.0,0.06,0.51
Guitar Hero Live,XboxOne,2015.0,0.29,0.17,0.0,0.05,0.51
FIFA 14,PlayStationVita,2013.0,0.11,0.25,0.01,0.13,0.5
Alien: Isolation,XboxOne,2014.0,0.22,0.24,0.0,0.04,0.5
Lego Batman 3: Beyond Gotham,PlayStationVita,2014.0,0.09,0.29,0.0,0.11,0.49
Sonic & All-Stars Racing Transformed,PlayStationVita,2012.0,0.12,0.25,0.0,0.11,0.48
Metal Gear Solid HD Edition,PlayStationVita,2012.0,0.16,0.18,0.05,0.09,0.48
World of Warcraft: Warlords of Draenor,PC,2014.0,0.08,0.36,0.0,0.04,0.48
FIFA Soccer 13,WiiU,2012.0,0.18,0.26,0.0,0.04,0.48
Football Manager 2015,PC,2014.0,0.0,0.43,0.0,0.05,0.48
Skylanders: SuperChargers,WiiU,2015.0,0.25,0.18,0.0,0.04,0.48
Lego Batman 3: Beyond Gotham,WiiU,2014.0,0.23,0.21,0.0,0.04,0.47
FIFA Soccer 13,PlayStationVita,2012.0,0.0,0.3,0.05,0.12,0.47
NHL 16,XboxOne,2015.0,0.37,0.05,0.0,0.05,0.47
Wolfenstein: The New Order,PC,2014.0,0.12,0.29,0.0,0.05,0.46
EA Sports UFC,XboxOne,2014.0,0.3,0.12,0.0,0.04,0.46
Mad Max (2015),XboxOne,2015.0,0.26,0.16,0.0,0.04,0.46
Sword Art Online: Lost Song,PlayStationVita,2015.0,0.08,0.1,0.23,0.05,0.46
Persona 4: Dancing All Night,PlayStationVita,2015.0,0.13,0.1,0.15,0.07,0.46
Thief (2014),XboxOne,2014.0,0.26,0.15,0.0,0.04,0.45
Tales of Hearts,PlayStationVita,2013.0,0.15,0.13,0.09,0.08,0.45
The Walking Dead: Season One,PlayStation4,2014.0,0.12,0.25,0.01,0.08,0.45
Resistance: Burning Skies,PlayStationVita,2012.0,0.21,0.16,0.02,0.07,0.45
Watch Dogs,PC,2014.0,0.14,0.26,0.0,0.05,0.45
Plants vs. Zombies: Garden Warfare 2,PlayStation4,2016.0,0.17,0.21,0.0,0.07,0.45
God Eater 2,PlayStationVita,2013.0,0.0,0.0,0.45,0.0,0.45
One Piece: Pirate Warriors 3,PlayStation4,2015.0,0.08,0.22,0.1,0.05,0.45
Mario Tennis Ultra Smash,WiiU,2015.0,0.13,0.16,0.13,0.03,0.45
Just Dance 2014,XboxOne,2013.0,0.3,0.11,0.0,0.04,0.45
Disney Infinity 3.0,WiiU,2015.0,0.2,0.21,0.0,0.04,0.44
