Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Refrain no Chika Meikyuu to Majo no Ryodan,PlayStationVita,2016.0,0.0,0.0,0.04,0.0,0.04
Utawarerumono: Futari no Hakuoro,PlayStation4,2016.0,0.0,0.0,0.04,0.0,0.04
Amagami,PlayStationVita,2014.0,0.0,0.0,0.04,0.0,0.04
Hitman (2016),PlayStation4,2016.0,0.0,0.04,0.0,0.01,0.04
7 Days to Die,XboxOne,2016.0,0.02,0.02,0.0,0.0,0.04
Major League Baseball 2K12,PC,2012.0,0.04,0.0,0.0,0.0,0.04
Nitroplus Blasterz: Heroines Infinite Duel,PlayStation4,2015.0,0.01,0.0,0.02,0.0,0.04
Lost Planet 3,PC,2013.0,0.0,0.03,0.0,0.01,0.04
XCOM 2,PlayStation4,2016.0,0.01,0.02,0.0,0.01,0.04
Ou to Maou to 7-nin no Himegimitachi: Shin Ousama Monogatari,PlayStationVita,2012.0,0.0,0.0,0.04,0.0,0.04
Resident Evil: Operation Raccoon City,PC,2012.0,0.0,0.03,0.0,0.01,0.04
Infamous: First Light,PlayStation4,2014.0,0.0,0.03,0.0,0.01,0.04
One Piece: Burning Blood,XboxOne,2016.0,0.03,0.01,0.0,0.0,0.04
Terraria,XboxOne,2014.0,0.0,0.04,0.0,0.0,0.04
Nobunaga's Ambition: Sphere of Influence,PlayStation4,2014.0,0.03,0.0,0.0,0.01,0.04
Resident Evil: Revelations,PC,2013.0,0.0,0.03,0.0,0.01,0.04
Castlevania: Lords of Shadow 2,PC,2014.0,0.01,0.03,0.0,0.0,0.04
The Sims 4: Spa Day,PC,2015.0,0.0,0.04,0.0,0.0,0.04
Yuki Yuna is a Hero: Memory of the Forest,PlayStationVita,2015.0,0.0,0.0,0.04,0.0,0.04
Hyperdimension Neptunia Victory II,PlayStation4,2015.0,0.0,0.0,0.04,0.0,0.04
Brothers: A Tale of Two Sons,XboxOne,2015.0,0.03,0.01,0.0,0.0,0.04
Tsurugi no Machi no Ihoujin: Kuro no Kyuuden,PlayStationVita,2015.0,0.0,0.0,0.04,0.0,0.04
Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden,PlayStationVita,2016.0,0.0,0.0,0.04,0.0,0.04
Song of the Deep,XboxOne,2016.0,0.03,0.0,0.0,0.0,0.04
Rugby Challenge 3,PlayStation4,2016.0,0.0,0.03,0.0,0.01,0.04
Hatsune Miku: Project Diva X,PlayStation4,2016.0,0.01,0.0,0.02,0.0,0.04
Bullet Girls 2,PlayStationVita,2016.0,0.0,0.0,0.04,0.0,0.04
LEGO Jurassic World,PC,2015.0,0.0,0.04,0.0,0.0,0.04
Rabbids Land,WiiU,2012.0,0.02,0.01,0.0,0.0,0.04
Civilization Beyond Earth: Rising Tide,PC,2015.0,0.0,0.04,0.0,0.0,0.04
Don Bradman Cricket 14,XboxOne,2015.0,0.0,0.04,0.0,0.0,0.04
Train Simulator 2016,PC,2015.0,0.0,0.04,0.0,0.0,0.04
The Idolm@ster: Must Songs - Red Board / Blue Board,PlayStationVita,2015.0,0.0,0.0,0.04,0.0,0.04
Resident Evil 6,XboxOne,2016.0,0.03,0.0,0.0,0.0,0.04
Ar Nosurge: Ode to an Unborn Star,PlayStationVita,2014.0,0.0,0.0,0.04,0.0,0.04
Warriors Orochi 3,XboxOne,2014.0,0.01,0.03,0.0,0.0,0.04
Winning Post 8,PlayStationVita,2014.0,0.0,0.0,0.04,0.0,0.04
Rugby World Cup 2015,PlayStationVita,2015.0,0.0,0.03,0.0,0.01,0.04
Super Hero Generation,PlayStationVita,2014.0,0.0,0.0,0.04,0.0,0.04
The Night of the Rabbit,PC,2013.0,0.0,0.03,0.0,0.0,0.04
Destiny: The Collection,XboxOne,2016.0,0.01,0.02,0.0,0.0,0.04
Ray Gigant,PlayStationVita,2015.0,0.0,0.0,0.04,0.0,0.04
Penguins of Madagascar,WiiU,2014.0,0.01,0.02,0.0,0.0,0.04
Aegis of Earth: Protonovus Assault,PlayStationVita,2016.0,0.02,0.01,0.0,0.01,0.04
MLB 15: The Show,PlayStationVita,2015.0,0.03,0.0,0.0,0.01,0.04
Assassin's Creed Chronicles: China,PlayStation4,2015.0,0.0,0.03,0.0,0.01,0.04
Batman: A Telltale Game Series,PlayStation4,2016.0,0.01,0.02,0.0,0.01,0.04
Might & Magic X: Legacy,PC,2014.0,0.0,0.03,0.0,0.0,0.04
Adventure Time: Explore the Dungeon Because I Don't Know!,WiiU,2013.0,0.02,0.01,0.0,0.0,0.03
Resident Evil 4 HD,PlayStation4,2016.0,0.03,0.0,0.0,0.01,0.03
Tour de France 2014,PlayStation4,2014.0,0.0,0.03,0.0,0.0,0.03
The Legend of Heroes: Trails in the Sky SC Evolution,PlayStationVita,2015.0,0.0,0.0,0.03,0.0,0.03
Criminal Girls 2,PlayStationVita,2015.0,0.0,0.0,0.03,0.0,0.03
Diabolik Lovers: Dark Fate,PlayStationVita,2015.0,0.0,0.0,0.03,0.0,0.03
Teenage Mutant Ninja Turtles: Mutants in Manhattan,XboxOne,2016.0,0.02,0.01,0.0,0.0,0.03
Dead or Alive Xtreme 3: Venus,PlayStationVita,2016.0,0.0,0.0,0.03,0.0,0.03
JoJo's Bizarre Adventure: Eyes of Heaven,PlayStation4,2015.0,0.0,0.0,0.03,0.0,0.03
NASCAR Heat Evolution,PlayStation4,2016.0,0.03,0.0,0.0,0.01,0.03
Trials Fusion,PC,2014.0,0.0,0.03,0.0,0.0,0.03
The Binding of Isaac,PC,2012.0,0.0,0.03,0.0,0.0,0.03
YoKai Watch Dance: Just Dance Special Version,WiiU,2015.0,0.0,0.0,0.03,0.0,0.03
Living Legends: Frozen Beauty,PC,2014.0,0.0,0.03,0.0,0.0,0.03
The Walking Dead: Season One,PC,2012.0,0.0,0.03,0.0,0.01,0.03
Super Robot Taisen OG Saga: Masou Kishin III - Pride of Justice,PlayStationVita,2013.0,0.0,0.0,0.03,0.0,0.03
Gakusen Toshi Asterisk Festa: Houka Kenran,PlayStationVita,2016.0,0.0,0.0,0.03,0.0,0.03
The Inner World,PC,2013.0,0.0,0.03,0.0,0.0,0.03
Exstetra,PlayStationVita,2013.0,0.0,0.0,0.03,0.0,0.03
Sorcery Saga: The Curse of the Great Curry God,PlayStationVita,2013.0,0.0,0.0,0.03,0.0,0.03
A Good Librarian Like a Good Shepherd: Library Party,PlayStationVita,2015.0,0.0,0.0,0.03,0.0,0.03
Gal Gun: Double Peace,PlayStationVita,2015.0,0.0,0.02,0.01,0.0,0.03
Hakuoki Zuisouroku Omokage Hana,PlayStationVita,2015.0,0.0,0.0,0.03,0.0,0.03
Hearts of Iron IV,PC,2016.0,0.0,0.03,0.0,0.0,0.03
Phantasy Star Online 2 Episode 4: Deluxe Package,PlayStation4,2017.0,0.0,0.0,0.03,0.0,0.03
Infinite Stratos 2: Ignition Hearts,PlayStationVita,2014.0,0.0,0.0,0.03,0.0,0.03
Airship Q,PlayStationVita,2015.0,0.0,0.0,0.03,0.0,0.03
MotoGP 15,XboxOne,2015.0,0.0,0.03,0.0,0.0,0.03
NBA 2K13,PC,2012.0,0.0,0.02,0.0,0.0,0.03
Summon Night 6: Lost Borders,PlayStation4,2016.0,0.0,0.0,0.03,0.0,0.03
Alia's Carnival! Sacrament,PlayStationVita,2015.0,0.0,0.0,0.03,0.0,0.03
Ebikore Photo Kano Kiss,PlayStationVita,2015.0,0.0,0.0,0.03,0.0,0.03
Bad Apple Wars,PlayStationVita,2015.0,0.0,0.0,0.03,0.0,0.03
Transformers: Devastation,PC,2015.0,0.0,0.03,0.0,0.0,0.03
Renai Revenge,PlayStationVita,2015.0,0.0,0.0,0.03,0.0,0.03
Atelier Shallie Plus: Alchemists of the Dusk Sea,PlayStationVita,2016.0,0.0,0.0,0.03,0.0,0.03
Lords of the Fallen,PC,2014.0,0.0,0.03,0.0,0.0,0.03
Great Edo Blacksmith,PlayStationVita,2014.0,0.0,0.0,0.03,0.0,0.03
Gotouchi Tetsudou: Gotouchi Chara to Nihon Zenkoku no Tabi,WiiU,2014.0,0.0,0.0,0.03,0.0,0.03
Doom 3 BFG Edition,PC,2012.0,0.0,0.02,0.0,0.01,0.03
Need for Speed (2015),PC,2016.0,0.0,0.03,0.0,0.0,0.03
Phantasy Star Online 2: Episode 3 Deluxe Package,PlayStationVita,2015.0,0.0,0.0,0.03,0.0,0.03
Pro Cycling Manager 2016,PC,2016.0,0.0,0.03,0.0,0.0,0.03
Hyperdimension Neptunia Vs. Sega Hard Girls: Yume no Gattai Special,PlayStationVita,2015.0,0.0,0.0,0.03,0.0,0.03
Higurashi no Naku Koro ni Iki,PlayStationVita,2015.0,0.0,0.0,0.03,0.0,0.03
Game of Thrones (Telltale),XboxOne,2015.0,0.03,0.0,0.0,0.0,0.03
OZMAFIA!! -vivace-,PlayStationVita,2015.0,0.0,0.0,0.03,0.0,0.03
Attack on Titan (KOEI),XboxOne,2016.0,0.01,0.01,0.0,0.0,0.03
Nisekoi: Yomeiri!?,PlayStationVita,2014.0,0.0,0.0,0.03,0.0,0.03
New Tokyo Legacy: Operation Babel,PlayStationVita,2015.0,0.0,0.0,0.03,0.0,0.03
The Croods: Prehistoric Party!,WiiU,2013.0,0.01,0.01,0.0,0.0,0.03
Exist Archive: The Other Side of the Sky,PlayStation4,2015.0,0.0,0.0,0.03,0.0,0.03
The Great Mystery Hidden Object Package 5,PC,2015.0,0.0,0.03,0.0,0.0,0.03
Stellaris,PC,2016.0,0.0,0.03,0.0,0.0,0.03
Ao no Kanata no Four Rhythm,PlayStationVita,2016.0,0.0,0.0,0.03,0.0,0.03
Trine 2,WiiU,2012.0,0.0,0.03,0.0,0.0,0.03
Botanicula,PC,2012.0,0.0,0.02,0.0,0.0,0.03
Parfait,PlayStationVita,2015.0,0.0,0.0,0.03,0.0,0.03
Ride,PC,2015.0,0.0,0.03,0.0,0.0,0.03
Ghostbusters (2016),PlayStation4,2016.0,0.02,0.0,0.0,0.01,0.03
Harukanaru Toki no Naka de 6,PlayStationVita,2015.0,0.0,0.0,0.03,0.0,0.03
Darius Burst: Chronicle Saviours,PlayStationVita,2016.0,0.0,0.0,0.03,0.0,0.03
Labyrinth Cross Blood: Infinity,PlayStationVita,2013.0,0.0,0.0,0.03,0.0,0.03
Star Trek: The Game,PC,2013.0,0.0,0.02,0.0,0.0,0.03
Pro Evolution Soccer 2017,XboxOne,2016.0,0.0,0.02,0.0,0.0,0.03
Xblaze: Lost Memories,PlayStationVita,2015.0,0.02,0.0,0.0,0.01,0.03
DiRT Rally,PC,2016.0,0.0,0.03,0.0,0.0,0.03
Let's Sing 2016,PlayStation4,2015.0,0.02,0.0,0.0,0.01,0.03
The Golf Club,XboxOne,2014.0,0.02,0.0,0.0,0.0,0.03
GRID Autosport,PC,2014.0,0.0,0.02,0.0,0.0,0.03
AMNESIA World,PlayStationVita,2014.0,0.0,0.0,0.03,0.0,0.03
Himoutou! Umaru-Chan: Himoutou Ikusei Keikaku,PlayStationVita,2015.0,0.0,0.0,0.03,0.0,0.03
Sengoku Basara: Sanada Yukimura-Den,PlayStation4,2016.0,0.0,0.0,0.03,0.0,0.03
Kisuato,PlayStationVita,2015.0,0.0,0.0,0.03,0.0,0.03
Monster High 13 Wishes,WiiU,2013.0,0.02,0.0,0.0,0.0,0.03
Captain Morgane and the Golden Turtle,PC,2012.0,0.0,0.02,0.0,0.0,0.03
Disney Planes Fire & Rescue,WiiU,2014.0,0.01,0.01,0.0,0.0,0.03
Senran Kagura: Bon Appétit!,PlayStationVita,2014.0,0.0,0.0,0.03,0.0,0.03
The Peanuts Movie: Snoopy's Grand Adventure,PlayStation4,2015.0,0.0,0.02,0.0,0.0,0.03
Tokushu Houdoubu,PlayStationVita,2012.0,0.0,0.0,0.03,0.0,0.03
Terraria,WiiU,2016.0,0.0,0.02,0.0,0.0,0.03
Little Busters! Converted Edition,PlayStationVita,2012.0,0.0,0.0,0.03,0.0,0.03
MeiQ no Chika Ni Shisu: A Maze to Eradicate Them All,PlayStationVita,2015.0,0.0,0.01,0.01,0.0,0.03
Diabolik Lovers: Lunatic Parade,PlayStationVita,2016.0,0.0,0.0,0.03,0.0,0.03
God Eater Off Shot: Lindow-hen Twin Pack & Animation Vol. 2,PlayStation4,2015.0,0.0,0.0,0.03,0.0,0.03
Turbo: Super Stunt Squad,WiiU,2013.0,0.0,0.02,0.0,0.0,0.03
Psycho-Pass: Mandatory Happiness,PlayStation4,2016.0,0.02,0.0,0.0,0.0,0.03
Kyokugen Dasshutsu ADV: Zennin Shiboudesu,PlayStationVita,2012.0,0.0,0.0,0.03,0.0,0.03
Yuusha Shisu.,PlayStationVita,2016.0,0.0,0.0,0.02,0.0,0.02
Senjou no Waltz,PlayStationVita,2014.0,0.0,0.0,0.02,0.0,0.02
Ghostbusters (2016),XboxOne,2016.0,0.02,0.0,0.0,0.0,0.02
Yahari Game Demo Ore no Seishun Love-Kome Hamachi Gatteiru,PlayStationVita,2013.0,0.0,0.0,0.02,0.0,0.02
Bus Simulator 16,PC,2016.0,0.0,0.02,0.0,0.0,0.02
Omega Quintet,PlayStation4,2014.0,0.0,0.0,0.02,0.0,0.02
Blade Arcus from Shining EX,PlayStation4,2015.0,0.0,0.0,0.02,0.0,0.02
Diabolik Lovers: Vandead Carnival,PlayStationVita,2014.0,0.0,0.0,0.02,0.0,0.02
Tropico 4: Modern Times,PC,2012.0,0.0,0.02,0.0,0.0,0.02
Cross Ange: Tenshi to Ryuu no Rondo tr.,PlayStationVita,2015.0,0.0,0.0,0.02,0.0,0.02
Kenka Bancho Otome,PlayStationVita,2016.0,0.0,0.0,0.02,0.0,0.02
Tokyo Xanadu eX+,PlayStation4,2016.0,0.0,0.0,0.02,0.0,0.02
Winning Post 8 2015,PlayStationVita,2015.0,0.0,0.0,0.02,0.0,0.02
Street Fighter X Tekken,PC,2012.0,0.0,0.02,0.0,0.0,0.02
NASCAR Heat Evolution,XboxOne,2016.0,0.02,0.0,0.0,0.0,0.02
F1 Race Stars,PC,2012.0,0.0,0.02,0.0,0.0,0.02
La Corda d'Oro 4,PlayStationVita,2016.0,0.0,0.0,0.02,0.0,0.02
X3: Terran War Pack,PC,2012.0,0.0,0.02,0.0,0.0,0.02
Prison Architect,PlayStation4,2016.0,0.01,0.01,0.0,0.0,0.02
Rugby League Live 3,PlayStation4,2015.0,0.0,0.02,0.0,0.0,0.02
Genkai Tokki: Seven Pirates,PlayStationVita,2016.0,0.0,0.0,0.02,0.0,0.02
To Love-Ru Trouble: Darkness - True Princess,PlayStationVita,2015.0,0.0,0.0,0.02,0.0,0.02
Plants vs. Zombies: Garden Warfare,PC,2014.0,0.0,0.02,0.0,0.0,0.02
Uta Kumi 575,PlayStationVita,2014.0,0.0,0.0,0.02,0.0,0.02
Sacred 3,PC,2014.0,0.0,0.02,0.0,0.0,0.02
Rocket League,PC,2016.0,0.01,0.01,0.0,0.0,0.02
Rugby World Cup 2015,XboxOne,2015.0,0.0,0.02,0.0,0.0,0.02
Ukiyo no Roushi,PlayStationVita,2015.0,0.0,0.0,0.02,0.0,0.02
Aegis of Earth: Protonovus Assault,PlayStation4,2016.0,0.02,0.0,0.0,0.0,0.02
Sengoku Otome: Legend Battle,PlayStationVita,2016.0,0.0,0.0,0.02,0.0,0.02
Valentino Rossi: The Game,XboxOne,2016.0,0.0,0.02,0.0,0.0,0.02
Diabolik Lovers: More Blood,PlayStationVita,2015.0,0.0,0.0,0.02,0.0,0.02
Canimal Triple,PlayStationVita,2014.0,0.0,0.02,0.0,0.0,0.02
Sniper Elite V2,WiiU,2013.0,0.0,0.02,0.0,0.0,0.02
Hyakka Hyakurou: Sengoku Ninpoujou,PlayStationVita,2016.0,0.0,0.0,0.02,0.0,0.02
Gochuumon wa Usagi Desu ka?? Wonderful Party!,PlayStationVita,2016.0,0.0,0.0,0.02,0.0,0.02
F1 2016 (Codemasters),PC,2016.0,0.0,0.02,0.0,0.0,0.02
Rugby League Team Manager 2015,PC,2015.0,0.0,0.02,0.0,0.0,0.02
Dead Rising,PlayStation4,2016.0,0.01,0.0,0.0,0.0,0.02
Homefront: The Revolution,PC,2016.0,0.0,0.02,0.0,0.0,0.02
The Technomancer,XboxOne,2016.0,0.01,0.01,0.0,0.0,0.02
Oil Rush,PC,2012.0,0.0,0.02,0.0,0.0,0.02
Cabela's Big Game Hunter: Pro Hunts,WiiU,2014.0,0.02,0.0,0.0,0.0,0.02
Hakuoki: Shinkai - Furi no Shou,PlayStationVita,2015.0,0.0,0.0,0.02,0.0,0.02
The Legend of Heroes: Trails in the Sky Third Chapter,PlayStationVita,2016.0,0.0,0.0,0.02,0.0,0.02
Samurai & Dragons,PlayStationVita,2012.0,0.0,0.0,0.02,0.0,0.02
Ridge Racer Unbounded,PC,2012.0,0.0,0.02,0.0,0.0,0.02
Invizimals: The Resistance,PlayStationVita,2014.0,0.0,0.02,0.0,0.0,0.02
Anima - Gate of Memories,PlayStation4,2016.0,0.0,0.02,0.0,0.0,0.02
Psycho-Pass: Mandatory Happiness,PlayStationVita,2016.0,0.0,0.01,0.01,0.0,0.02
Resident Evil: Umbrella Corps,PlayStation4,2016.0,0.0,0.0,0.02,0.0,0.02
Fist of the North Star: Ken's Rage 2,WiiU,2013.0,0.0,0.0,0.02,0.0,0.02
Deus Ex: Mankind Divided,PC,2016.0,0.0,0.02,0.0,0.0,0.02
RollerCoaster Tycoon World,PC,2016.0,0.0,0.02,0.0,0.0,0.02
Net High,PlayStationVita,2015.0,0.0,0.0,0.02,0.0,0.02
Dark Tales: Edgar Allan Poe's The Premature Burial,PC,2012.0,0.0,0.02,0.0,0.0,0.02
Resident Evil Zero,PC,2016.0,0.01,0.01,0.0,0.0,0.02
Legend of Kay Anniversary,PlayStation4,2015.0,0.0,0.02,0.0,0.0,0.02
Nobunaga's Ambition: Tenshouki with Power-Up Kit HD Version,PlayStationVita,2015.0,0.0,0.0,0.02,0.0,0.02
Angelique Retour,PlayStationVita,2015.0,0.0,0.0,0.02,0.0,0.02
Mount & Blade Collection,PC,2012.0,0.0,0.02,0.0,0.0,0.02
Dino Dini's Kick Off Revival,PlayStation4,2016.0,0.0,0.02,0.0,0.0,0.02
Mighty No. 9,WiiU,2016.0,0.01,0.01,0.0,0.0,0.02
Agatha Christie: The ABC Murders,PC,2016.0,0.0,0.02,0.0,0.0,0.02
Date-A-Live Twin Edition: Rio Reincarnation,PlayStationVita,2015.0,0.0,0.0,0.02,0.0,0.02
Natsuiro High School: Seishun Hakusho,PlayStation4,2015.0,0.0,0.0,0.02,0.0,0.02
Black Rose Valkyrie,PlayStation4,2016.0,0.0,0.0,0.02,0.0,0.02
Agatha Christie's The ABC Murders,PlayStation4,2016.0,0.01,0.01,0.0,0.0,0.02
Dynasty Warriors 8: Empires,PlayStationVita,2015.0,0.0,0.0,0.02,0.0,0.02
Otoko Yukaku,PlayStationVita,2015.0,0.0,0.0,0.02,0.0,0.02
Spirits and Demons: 5 Game Pack,PC,2015.0,0.0,0.02,0.0,0.0,0.02
Rose to Tasogare no Kojou,PlayStationVita,2016.0,0.0,0.0,0.02,0.0,0.02
Hakuoki: Shinkai - Hana no Shou,PlayStationVita,2016.0,0.0,0.0,0.02,0.0,0.02
X-Plane 10 Global,PC,2013.0,0.0,0.02,0.0,0.0,0.02
Kamen Rider: Battride War II,WiiU,2014.0,0.0,0.0,0.02,0.0,0.02
The Talos Principle,PlayStation4,2015.0,0.0,0.02,0.0,0.0,0.02
Tsuki ni Yori Sou Otome no Sahou: Hidamari no Hibi,PlayStationVita,2015.0,0.0,0.0,0.02,0.0,0.02
Amatsumi Sora ni! Kumo no Hatate ni,PlayStationVita,2015.0,0.0,0.0,0.02,0.0,0.02
Lovely x Cation 1 & 2,PlayStationVita,2015.0,0.0,0.0,0.02,0.0,0.02
The Crew: Wild Run,PC,2015.0,0.0,0.02,0.0,0.0,0.02
7 Roses: A Darkness Rises,PC,2015.0,0.0,0.02,0.0,0.0,0.02
Bakumatsu Rock: Ultra Soul,PlayStationVita,2014.0,0.0,0.0,0.02,0.0,0.02
MotoGP 14,PlayStationVita,2014.0,0.0,0.01,0.0,0.0,0.02
The Crew: Wild Run,XboxOne,2015.0,0.0,0.02,0.0,0.0,0.02
Lara Croft and the Temple of Osiris,PC,2014.0,0.0,0.02,0.0,0.0,0.02
Final Fantasy XIV: Heavensward,PC,2015.0,0.01,0.01,0.0,0.0,0.02
Grisaia no Rakuen: Le Eden de la Grisaia,PlayStationVita,2014.0,0.0,0.0,0.02,0.0,0.02
Song of the Deep,PC,2016.0,0.02,0.0,0.0,0.0,0.02
Rabbids Invasion: The Interactive TV Show,PlayStation4,2014.0,0.0,0.01,0.0,0.0,0.02
Winning Post 8 2016,PlayStation4,2016.0,0.0,0.0,0.02,0.0,0.02
Robotics;Notes,PlayStationVita,2014.0,0.0,0.0,0.02,0.0,0.02
Prince of Stride,PlayStationVita,2015.0,0.0,0.0,0.02,0.0,0.02
Back to the Future: The Game,XboxOne,2015.0,0.0,0.02,0.0,0.0,0.02
This War of Mine,PlayStation4,2016.0,0.0,0.01,0.0,0.0,0.02
Nil Admirari no Tenbin: Teito Genwaku Toukidan,PlayStationVita,2016.0,0.0,0.0,0.02,0.0,0.02
Arslan: The Warriors of Legend,XboxOne,2016.0,0.01,0.0,0.0,0.0,0.02
Revolution: 25th Anniversary Collection,PC,2016.0,0.0,0.02,0.0,0.0,0.02
MX vs. ATV Supercross Encore,XboxOne,2015.0,0.02,0.0,0.0,0.0,0.02
Abunai: Koi no Sousa Shitsu,PlayStationVita,2015.0,0.0,0.0,0.02,0.0,0.02
Divinity: Original Sin,PC,2014.0,0.0,0.02,0.0,0.0,0.02
Clock Zero: Shuuen no Ichibyou - ExTime,PlayStationVita,2015.0,0.0,0.0,0.02,0.0,0.02
Root Infinity Rexx,PlayStationVita,2015.0,0.0,0.0,0.02,0.0,0.02
Reine des Fleurs,PlayStationVita,2015.0,0.0,0.0,0.02,0.0,0.02
"Moshi, Kono Sekai ni Kami-sama ga Iru to suru Naraba.",PlayStationVita,2016.0,0.0,0.0,0.02,0.0,0.02
Kaleidoeve,PlayStationVita,2015.0,0.0,0.0,0.02,0.0,0.02
XCOM 2,XboxOne,2016.0,0.01,0.01,0.0,0.0,0.02
Winning Post 7 2013,PlayStationVita,2013.0,0.0,0.0,0.02,0.0,0.02
Puyo Puyo Tetris,WiiU,2014.0,0.0,0.0,0.02,0.0,0.02
White Album 2: Shiawase no Mukougawa,PlayStationVita,2013.0,0.0,0.0,0.02,0.0,0.02
Psychedelica of the Black Butterfly,PlayStationVita,2015.0,0.0,0.0,0.02,0.0,0.02
Assault Suit Leynos,PlayStation4,2016.0,0.01,0.0,0.0,0.0,0.02
Kadenz fermata//Akkord:fortissimo,PlayStationVita,2014.0,0.0,0.0,0.02,0.0,0.02
DuckTales: Remastered,PC,2013.0,0.0,0.01,0.0,0.0,0.02
Contrast,PC,2013.0,0.0,0.01,0.0,0.0,0.02
Taishou Moebius Line Vitable,PlayStationVita,2016.0,0.0,0.0,0.02,0.0,0.02
Kiss Bell,PlayStationVita,2014.0,0.0,0.0,0.02,0.0,0.02
MuvLuv Double Pack,PlayStationVita,2016.0,0.0,0.0,0.02,0.0,0.02
Koihime Enbu,PlayStation4,2016.0,0.0,0.0,0.02,0.0,0.02
Romance of the Three Kingdoms XII,WiiU,2012.0,0.0,0.0,0.02,0.0,0.02
The Sims 4: Luxury Party Stuff,PC,2015.0,0.0,0.01,0.0,0.0,0.02
Saenai Kanojo no Sodatekata: Blessing Flowers,PlayStationVita,2015.0,0.0,0.0,0.02,0.0,0.02
Pillars of Eternity,PC,2014.0,0.0,0.01,0.0,0.0,0.02
Professional Farmer 2016,PlayStation4,2015.0,0.0,0.01,0.0,0.0,0.02
I Doll U,PlayStationVita,2015.0,0.0,0.0,0.02,0.0,0.02
Worms: WMD,PlayStation4,2016.0,0.01,0.01,0.0,0.0,0.02
Storm Lover 2nd V,PlayStationVita,2016.0,0.0,0.0,0.02,0.0,0.02
Grisaia no Meikyuu: Le Labyrinthe de la Grisaia,PlayStationVita,2014.0,0.0,0.0,0.02,0.0,0.02
Touhou Genso Rondo: Bullet Ballet,PlayStation4,2016.0,0.01,0.0,0.0,0.0,0.02
Girl Friend Beta: Kimi to Sugosu Natsuyasumi,PlayStationVita,2015.0,0.0,0.0,0.02,0.0,0.02
Farming Simulator 2014,PlayStationVita,2014.0,0.01,0.0,0.0,0.0,0.02
Sid Meier's Civilization Revolution 2+,PlayStationVita,2015.0,0.0,0.0,0.02,0.0,0.02
Coven and Labyrinth of Refrain,PlayStationVita,2016.0,0.0,0.0,0.01,0.0,0.01
Demon Gaze 2,PlayStationVita,2014.0,0.0,0.0,0.01,0.0,0.01
God Eater Off Shot: Soma Shikkuzaru-hen Twin Pack & Animation Vol.4,PlayStation4,2016.0,0.0,0.0,0.01,0.0,0.01
Uppers,PlayStationVita,2016.0,0.0,0.0,0.01,0.0,0.01
Wand of Fortune R,PlayStationVita,2016.0,0.0,0.0,0.01,0.0,0.01
WRC 5: FIA World Rally Championship,XboxOne,2015.0,0.0,0.01,0.0,0.0,0.01
Raven's Cry,PlayStation4,2015.0,0.0,0.01,0.0,0.0,0.01
God Eater Off Shot:Shiou-hen Twin Pack & Animation Vol.5,PlayStation4,2016.0,0.0,0.0,0.01,0.0,0.01
Battle Worlds: Kronos,PC,2016.0,0.0,0.01,0.0,0.0,0.01
Infinite Stratos 2: Love and Purge,PlayStationVita,2015.0,0.0,0.0,0.01,0.0,0.01
Resident Evil 5 HD,PlayStation4,2016.0,0.01,0.0,0.0,0.0,0.01
Rewrite,PlayStationVita,2014.0,0.0,0.0,0.01,0.0,0.01
Barbie and Her Sisters Puppy Rescue,WiiU,2015.0,0.0,0.01,0.0,0.0,0.01
Marginal #4: Idol of Supernova,PlayStationVita,2014.0,0.0,0.0,0.01,0.0,0.01
Paranormal Pursuit: The Gifted One,PC,2015.0,0.0,0.01,0.0,0.0,0.01
Psycho-Pass,XboxOne,2014.0,0.0,0.0,0.01,0.0,0.01
Hitotsu Tobashi Renai V,PlayStationVita,2015.0,0.0,0.0,0.01,0.0,0.01
Ninja Gaiden Sigma 2,PlayStationVita,2013.0,0.0,0.0,0.01,0.0,0.01
Collar x Malice,PlayStationVita,2016.0,0.0,0.0,0.01,0.0,0.01
Dragon's Dogma Online: Season 2,PlayStation4,2016.0,0.0,0.0,0.01,0.0,0.01
Norn + Nonette: Last Era,PlayStationVita,2015.0,0.0,0.0,0.01,0.0,0.01
Mystery Legends: Beauty and the Beast,PC,2012.0,0.0,0.01,0.0,0.0,0.01
Fuuraiki 3,PlayStationVita,2015.0,0.0,0.0,0.01,0.0,0.01
htoL#NiQ: The Firefly Diary,PlayStationVita,2014.0,0.0,0.0,0.01,0.0,0.01
Hanayamata: Yosakoi Live,PlayStationVita,2014.0,0.0,0.0,0.01,0.0,0.01
Republique,PlayStation4,2016.0,0.0,0.01,0.01,0.0,0.01
Sonic & All-Stars Racing Transformed,PC,2013.0,0.0,0.01,0.0,0.0,0.01
Hyakka Yakou,PlayStationVita,2015.0,0.0,0.0,0.01,0.0,0.01
Shin Hayarigami 2,PlayStationVita,2016.0,0.0,0.0,0.01,0.0,0.01
Ro-Kyu-Bu! Secret Photo Op,PlayStationVita,2014.0,0.0,0.0,0.01,0.0,0.01
Dynasty Warriors: Eiketsuden,PlayStation4,2016.0,0.0,0.0,0.01,0.0,0.01
Carmageddon: Max Damage,XboxOne,2016.0,0.01,0.01,0.0,0.0,0.01
Nyaruko-San: Nafushigatai Game no You na Mono,PlayStationVita,2013.0,0.0,0.0,0.01,0.0,0.01
